Street,Postal Code,City,Latitude,Longitude
Sonneberger Straße 246,98724,Neuhaus am Rennweg,50.4926542,11.1601327
Johann-Friedrich-Böttger-Straße 17,98693,Ilmenau,50.67618601,10.92871954
Degerser Straße 34,30974,Wennigsen,52.28197765,9.57520729
Grenzallee 4 L,12057,Berlin,52.47031687,13.46180115
Dingolfinger Straße 1,12683,Berlin,52.5103924,13.5626195
Celler Straße 50a,29348,Eschede,52.72761393,10.22817128
Kastanienallee 1,23946,Ostseebad Boltenhagen,53.9876603,11.1971606
An der Ziegelei 2,01454,Radeberg,51.12910395,13.91676301
Julius-Rütgers-Straße 1a,15537,Erkner,52.4300183,13.7526315
Ritterkamp 42,28790,Schwanewede,53.22751661,8.59805901
Breslauer Straße 13,38259,Salzgitter,52.05137638,10.37463338
Am Dreweswäldchen 19,23970,Wismar,53.88341239,11.45893
Löwenhainer Straße 2,01279,Dresden,51.0287866,13.8125787
Plöner Landstraße 8-10,23701,Eutin,54.13036111,10.57963316
Krüsistraße 7,22305,Hamburg,53.587902,10.0449247
Elster Straße 77,08626,Adorf,50.3083699,12.2534249
Schullendamm 64B,49716,Meppen,52.69261402,7.27218426
Angelbecker Straße 1,49624,Löningen,52.73233318,7.75764536
Uferstraße 4,01917,Kamenz,51.27146909,14.10365771
Mörgekenweg 8,45309,Essen,51.47219419,7.0734344
Gesundbrunnenring 4,02625,Bautzen,51.18671545,14.44040271
Planetenring 33,30823,Garbsen,52.42047537,9.59606478
Güttloh 1-5,25451,Quickborn,53.72133886,9.90147051
Kälberhof 21,57250,Netphen,50.88220422,8.14237451
Weyerstraße 306,42719,Solingen,51.17973051,7.03342296
Nieskyer Straße 100,02828,Görlitz,51.169551,14.9710012
Hüttenstraße 67,33184,Altenbeken,51.7559553,8.9532364
Amtmann-Bullrich-Straße 23,33719,Bielefeld-Heepen,52.0323601,8.6094021
Magdeburger Straße 20,39397,Gröningen,51.9408198,11.2325608
Weseler Straße 651,48163,Münster,51.9240348,7.5777449
Südring 30,34497,Korbach,51.26399878,8.86582494
Altenburger Straße 1,07743,Jena,50.94687746,11.60444381
Kaufpark Steffenberg 2,35239,Steffenberg,50.8400445,8.4674549
Lohausstraße 17,45721,Haltern am See,51.7504847,7.195085
Windelsbleicher Straße 239a,33659,Bielefeld,51.9592926,8.521615
Rübenbaum 1,29553,Bienenbüttel,53.13492311,10.4948541
Teninger Straße 5,01619,Zeithain,51.33570295,13.33941543
Geschwister-Scholl-Straße 30,14776,Brandenburg an der Havel,52.4030225,12.5691298
Am Denkmal 4,38112,Braunschweig,52.30426016,10.5184467
Uferstraße 3,08412,Werdau,50.73465233,12.37292512
Johann-Koch-Straße 2,30982,Pattensen,52.2637868,9.77071081
Am Kuchenhaus 12,08321,Zschorlau,50.56383907,12.63665617
Am Marienhof 1-3,22880,Wedel,53.59280225,9.71057927
Benrather Straße 14,42115,Wuppertal,51.2539786,7.1003342
Schipkauer Straße 13,01987,Schwarzheide,51.46764248,13.86941318
